brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price,drive_train_dummies,performance engine,fuel_type_dummies,efficiency
Jeep,Cherokee Latitude,2017.0,73014.0,2.4L I4 16V MPFI SOHC,2.4,9-Speed Automatic,1.0,Gasoline,Four-wheel Drive,16.0,21.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Black,Diamond Black,18675.0,1,0,1.0,0.0
Volvo,XC90 B6 Plus 7-Seater,2023.0,5999.0,2.0L I4 16V GDI DOHC Turbo,2.0,Automatic,1.0,Gasoline,Four-wheel Drive,20.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,Blond,Onyx Black,64553.0,1,0,1.0,1.0
Porsche,911 Carrera 4S,2022.0,4850.0,"3L H-6 gasoline direct injection, DOHC, VarioCam Plus variable v",3.0,"Automatic, 8-Spd PDK Dual-Clutch",1.0,Gasoline,Four-wheel Drive,20.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,SLATE GRAY,Shark Blue,165900.0,1,1,1.0,1.0
Jaguar,XK R,2012.0,54574.0,5.0L V8 32V GDI DOHC Supercharged,5.0,6-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,19.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Charcoal / Ivory,Ebony,30990.0,3,1,1.0,1.0
Nissan,Pathfinder SV,2018.0,59314.0,3.5L V6 24V MPFI DOHC,3.5,Automatic CVT,1.0,Gasoline,Four-wheel Drive,23.0,32.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Charcoal,Caspian Blue,22995.0,1,1,1.0,1.0
Porsche,944 S2,1991.0,50471.0,3.0L I4 16V DOHC,3.0,5-Speed Manual,0.0,Gasoline,Rear-wheel Drive,22.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Red,24900.0,3,1,1.0,1.0
Mercedes-Benz,GLE 350,2020.0,36755.0,2.0L I4 16V GDI DOHC Turbo,2.0,9-Speed Automatic,1.0,Gasoline,Four-wheel Drive,17.0,27.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Espresso Brown,Polar White,47890.0,1,0,1.0,1.0
Alfa,Romeo Giulia Ti,2017.0,55362.0,2.0L I4 16V GDI SOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,22.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,Black,Alfa Black,20600.0,3,0,1.0,1.0
MINI,Cooper S Countryman Base,2012.0,95559.0,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",1.6,Automatic 6-Speed,1.0,Gasoline,Four-wheel Drive,26.0,37.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,White,12995.0,1,0,1.0,1.0
Cadillac,XT4 Premium Luxury,2019.0,10435.0,2.0L I4 16V GDI DOHC Turbo,2.0,9-Speed Automatic,1.0,Gasoline,Front-wheel Drive,18.0,27.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Black,Stellar Black Metallic,33256.0,3,0,1.0,1.0
Lexus,NX 350 F SPORT Handling,2022.0,6484.0,2.4L I4 16V PDI DOHC Turbo,2.4,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,21.0,31.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Red,Black,52647.0,1,0,1.0,1.0
FIAT,500 Sport,2013.0,129287.0,1.4L I4 16V MPFI SOHC,1.4,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,31.0,40.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Bianco White,6838.0,3,0,1.0,1.0
Cadillac,Escalade Premium,2016.0,89175.0,6.2L V8 16V GDI OHV,6.2,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,21.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Jet Black,Crystal White Tri-Coat,36463.0,1,1,1.0,1.0
Nissan,NV Cargo NV2500 HD SV V6/SV V8,2021.0,18106.0,4.0L V6 24V MPFI DOHC,4.0,5-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,25.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Gray,Glacier White,43990.0,3,1,1.0,1.0
Audi,Q5 3.2 Premium,2010.0,87572.0,3.2L V6 24V GDI DOHC,3.2,6-Speed Automatic,1.0,Gasoline,Four-wheel Drive,18.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Black,Silver,12985.0,1,1,1.0,1.0
BMW,228 Gran Coupe i xDrive,2020.0,26052.0,2.0L I4 16V GDI DOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,23.0,33.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Black,Jet Black,32329.0,1,0,1.0,1.0
Ford,Edge ST,2020.0,17367.0,2.7L V6 24V GDI DOHC Twin Turbo,2.7,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,19.0,26.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Ebony,Iconic Silver Metallic,38000.0,1,1,1.0,1.0
Volkswagen,Golf GTI 2.0T Autobahn,2022.0,14036.0,2.0L I4 16V GDI DOHC Turbo,2.0,6-Speed Manual,0.0,Gasoline,Front-wheel Drive,22.0,31.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Titan Black,Deep Black Pearl Effect,38588.0,3,0,1.0,1.0
FIAT,500 Sport,2012.0,79463.0,1.4L I4 16V MPFI SOHC,1.4,6-Speed Automatic,1.0,Gasoline,Front-wheel Drive,30.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Rosso,,3,0,1.0,1.0
Audi,Q5 2.0T Premium Plus,2017.0,89654.0,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,2.0,8-Speed Automatic,1.0,E85 Flex Fuel,Four-wheel Drive,20.0,27.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Chestnut Brown,Glacier White Metallic,19989.0,1,0,3.0,1.0
Honda,Civic EX,2022.0,13712.0,1.5L I4 16V GDI DOHC Turbo,1.5,Automatic CVT,1.0,Gasoline,Front-wheel Drive,33.0,42.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Black,Platinum White Pearl,25900.0,3,0,1.0,1.0
Audi,Q3 45 S line Premium Plus,2020.0,48813.0,2.0L I4 16V GDI DOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,19.0,27.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Black,Chronos Gray Metallic,30991.0,1,0,1.0,1.0
Land,Rover Discovery Landmark Edition,2020.0,27448.0,3.0L V6 24V GDI DOHC Supercharged,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,19.0,24.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,Ebony / Ebony,Yulong White,50762.0,1,1,1.0,1.0
Chevrolet,Blazer RS,2021.0,35492.0,3.6L V6 24V GDI DOHC,3.6,9-Speed Automatic,1.0,Gasoline,Front-wheel Drive,20.0,27.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Jet Black,Bright Blue Metallic,37511.0,3,1,1.0,1.0
Honda,Insight Touring,2019.0,6954.0,1.5L I4 16V MPFI DOHC Hybrid,1.5,Automatic CVT,1.0,Hybrid,Front-wheel Drive,45.0,51.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Black,Aegean Blue Metallic,26760.0,3,0,2.0,2.0
Ford,Bronco Raptor,2022.0,6400.0,3.0L V6 24V GDI DOHC Twin Turbo,3.0,10-Speed Automatic,1.0,Gasoline,Four-wheel Drive,15.0,16.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Black Onyx,Shadow Black,102995.0,1,1,1.0,0.0
Honda,Accord Crosstour EX-L,2010.0,173228.0,"3.5L V-6 i-VTEC variable valve control, engine with cylinder dea",3.5,Automatic,1.0,Gasoline,Front-wheel Drive,18.0,27.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Black,White,9495.0,3,1,1.0,1.0
Ford,Explorer XLT,2021.0,30634.0,2.3L I4 16V GDI DOHC Turbo,2.3,10-Speed Automatic,1.0,Gasoline,Four-wheel Drive,20.0,27.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Light Slate,Star White,37546.0,1,0,1.0,1.0
FIAT,500L Trekking,2014.0,43896.0,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed,0.0,Gasoline,Front-wheel Drive,25.0,33.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Giallo (Yellow),12745.0,3,0,1.0,1.0
Jeep,Cherokee Overland,2018.0,71362.0,3.2L V6 24V MPFI DOHC,3.2,9-Speed Automatic,1.0,Gasoline,Four-wheel Drive,13.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Black,Bright White Clearcoat,27490.0,1,1,1.0,0.0
BMW,M340 i,2022.0,2437.0,3.0L I6 24V GDI DOHC Turbo,3.0,8-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,23.0,32.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Canberra Beige,Mineral White Metallic,53500.0,3,1,1.0,1.0
Toyota,Tundra Grade,2011.0,90460.0,"I-FORCE 5.7L V-8 DOHC, VVT-i variable valve control, engine with",5.7,Automatic,1.0,Gasoline,Four-wheel Drive,13.0,17.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Sand Beige,Black,21990.0,1,1,1.0,0.0
Maserati,Levante GranLusso,2019.0,26756.0,3.0L V6 24V GDI DOHC Twin Turbo,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,16.0,24.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Beige,Bianco,51830.0,1,1,1.0,0.0
Lexus,NX 200t Base,2015.0,152520.0,2.0L I4 16V PDI DOHC Turbo,2.0,6-Speed Automatic,1.0,Gasoline,Four-wheel Drive,19.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Black,Beige,17390.0,1,0,1.0,1.0
Jaguar,F-PACE S,2019.0,36140.0,3.0L V6 24V GDI DOHC Supercharged,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,23.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Ebony,Santorini Black Metallic,46998.0,1,1,1.0,1.0
Porsche,Cayenne Turbo S,2018.0,51779.0,"4.8L V-8 gasoline direct injection, DOHC, VarioCam Plus variable",4.8,Automatic,1.0,Gasoline,Four-wheel Drive,18.0,23.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Luxor Beige,White,73895.0,1,1,1.0,1.0
Chevrolet,Silverado 1500 2LT,2014.0,64099.0,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",5.3,Automatic,1.0,Gasoline,Four-wheel Drive,16.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Jet Black/Dark Ash,Black,21999.0,1,1,1.0,0.0
Alfa,Romeo Stelvio Ti,2018.0,54408.0,2.0L I4 16V GDI SOHC Turbo,2.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,22.0,28.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,Black,Silverstone Gray Metallic,26788.0,1,0,1.0,1.0
Mitsubishi,Outlander Sport ES,2021.0,34159.0,2.0L I4 16V MPFI DOHC,2.0,Automatic CVT,1.0,Gasoline,Four-wheel Drive,23.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Black,Diamond White Pearl,18980.0,1,0,1.0,1.0
Mercedes-Benz,CLS 450 Base,2020.0,19955.0,3.0L I6 24V GDI DOHC Turbo,3.0,9-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,17.0,27.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,Black,Selenite Gray Metallic,55551.0,3,1,1.0,1.0
Toyota,Tundra SR5,2022.0,3376.0,3.5L V6 24V PDI DOHC Twin Turbo,3.5,10-Speed Automatic,1.0,Gasoline,Rear-wheel Drive,18.0,23.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Black,White,42990.0,3,1,1.0,1.0
Audi,A7 3.0T Prestige,2018.0,69419.0,3.0L V6 24V GDI DOHC Supercharged,3.0,8-Speed Automatic,1.0,Gasoline,Four-wheel Drive,20.0,29.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Black,Tornado Gray Metallic,31796.0,1,1,1.0,1.0
